what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646255243
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646260268
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646884058
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646887261
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646889229
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646897833
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646909950
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646917629
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646934215
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646939883
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548646963774
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548647023247
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548647024915
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548647029818
opened,editor,com.jaspersoft.studio.babel.editor,6.6.0.final,"com.essiembre.rbe.eclipse.editor.ResourceBundleEditor",1548647030584
activated,editor,com.jaspersoft.studio.babel.editor,6.6.0.final,"com.essiembre.rbe.eclipse.editor.ResourceBundleEditor",1548647030990
executed,command,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.navigate.openResource",1548647031005
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548647049913
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548648074497
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548648074625
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548648160449
activated,view,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.ProjectExplorer",1548648162561
started,bundle,org.eclipse.m2e.editor,1.6.2.20150902-0002,"org.eclipse.m2e.editor",1548648165330
started,bundle,org.eclipse.m2e.core.ui,1.6.2.20150902-0002,"org.eclipse.m2e.core.ui",1548648165413
started,bundle,org.eclipse.jst.jee,1.0.700.v201404092004,"org.eclipse.jst.jee",1548648165730
error,log,,,"An error occurred",1548648165887
error,log,,,"An error occurred",1548648165976
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1548648166350
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1548648166380
started,bundle,org.eclipse.wst.common.uriresolver,1.2.200.v201505132009,"org.eclipse.wst.common.uriresolver",1548648166565
started,bundle,org.eclipse.wst.html.core,1.1.802.v201501312139,"org.eclipse.wst.html.core",1548648166581
started,bundle,org.eclipse.wst.xml.ui,1.1.501.v201501212057,"org.eclipse.wst.xml.ui",1548648166680
started,bundle,org.eclipse.wst.dtd.ui,1.0.801.v201308100602,"org.eclipse.wst.dtd.ui",1548648167006
started,bundle,org.eclipse.wst.xsl.ui,1.1.301.v201304222136,"org.eclipse.wst.xsl.ui",1548648167007
started,bundle,org.eclipse.m2e.editor.xml,1.6.2.20150902-0002,"org.eclipse.m2e.editor.xml",1548648167266
started,bundle,org.eclipse.wst.xsl.core,1.1.301.v201405151730,"org.eclipse.wst.xsl.core",1548648167366
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240422,"org.eclipse.wst.xsl.exslt.core",1548648167408
started,bundle,org.eclipse.wst.xsd.core,1.1.900.v201401141857,"org.eclipse.wst.xsd.core",1548648168498
started,bundle,org.eclipse.xsd,2.11.0.v20160208-0841,"org.eclipse.xsd",1548648168574
started,bundle,org.eclipse.wst.internet.cache,1.0.701.v201510130022,"org.eclipse.wst.internet.cache",1548648168734
started,bundle,org.eclipse.jem.workbench,2.0.400.v201302011850,"org.eclipse.jem.workbench",1548648169600
opened,editor,org.eclipse.m2e.editor,1.6.2.20150902-0002,"org.eclipse.m2e.editor.MavenPomEditor",1548648169609
activated,editor,org.eclipse.m2e.editor,1.6.2.20150902-0002,"org.eclipse.m2e.editor.MavenPomEditor",1548648170045
activated,view,org.eclipse.ui.console,3.6.100.v20150822-1912,"org.eclipse.ui.console.ConsoleView",1548648172956
activated,editor,org.eclipse.m2e.editor,1.6.2.20150902-0002,"org.eclipse.m2e.editor.MavenPomEditor",1548648174418
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548648175733
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548648179543
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548648181826
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548648182421
started,bundle,org.eclipse.jst.jsp.ui,1.1.1000.v201505130300,"org.eclipse.jst.jsp.ui",1548648201657
error,log,,,"A workspace crash was detected. The previous session did not exit normally. Not using saved taglib indexes.",1548648201677
started,bundle,org.eclipse.jst.jsp.core,1.2.800.v201505130300,"org.eclipse.jst.jsp.core",1548648201696
started,bundle,org.eclipse.wst.html.ui,1.0.1000.v201505130300,"org.eclipse.wst.html.ui",1548648204765
started,bundle,org.eclipse.mylyn.java.tasks,3.19.0.v20160111-2059,"org.eclipse.mylyn.java.tasks",1548648204808
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548648204861
