what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1548211989165
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1548211989171
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1548211989176
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1548211989182
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1548211989185
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1548211989192
os,sysinfo,,,"win32",1548211989195
arch,sysinfo,,,"x86_64",1548211989195
ws,sysinfo,,,"win32",1548211989195
locale,sysinfo,,,"en_US",1548211989195
processors,sysinfo,,,"4",1548211989195
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1548211989195
java.runtime.version,sysinfo,,,"1.8.0_172-b11",1548211989195
java.specification.name,sysinfo,,,"Java Platform API Specification",1548211989195
java.specification.vendor,sysinfo,,,"Oracle Corporation",1548211989195
java.specification.version,sysinfo,,,"1.8",1548211989195
java.vendor,sysinfo,,,"Oracle Corporation",1548211989195
java.version,sysinfo,,,"1.8.0_172",1548211989195
java.vm.info,sysinfo,,,"mixed mode",1548211989195
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1548211989195
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1548211989195
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1548211989195
java.vm.specification.version,sysinfo,,,"1.8",1548211989195
java.vm.vendor,sysinfo,,,"Oracle Corporation",1548211989195
java.vm.version,sysinfo,,,"25.172-b11",1548211989195
started,bundle,com.jaspersoft.studio.babel.editor,6.6.0.final,"com.jaspersoft.studio.babel.editor",1548211989210
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548211989211
started,bundle,com.jaspersoft.studio.xtext.jface,6.6.0.final,"com.jaspersoft.studio.xtext.jface",1548211989220
started,bundle,net.sf.jasperreports,6.6.0.final,"net.sf.jasperreports",1548211989320
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548211990219
started,bundle,org.jboss.ide.eclipse.archives.webtools,3.1.1.Final-v20160409-0826-B118,"org.jboss.ide.eclipse.archives.webtools",1548211991698
started,bundle,org.eclipse.tm.terminal.connector.local,4.0.0.201505081521,"org.eclipse.tm.terminal.connector.local",1548211991968
started,bundle,org.eclipse.tm.terminal.view.ui,4.0.0.201506031417,"org.eclipse.tm.terminal.view.ui",1548211991973
started,bundle,org.eclipse.tm.terminal.control,4.0.0.201505221029,"org.eclipse.tm.terminal.control",1548211991984
started,bundle,com.jaspersoft.studio.data.drivers,6.6.0.final,"com.jaspersoft.studio.data.drivers",1548211992181
started,bundle,com.jaspersoft.studio.book,6.6.0.final,"com.jaspersoft.studio.book",1548211992274
started,bundle,com.jaspersoft.studio.properties,6.6.0.final,"com.jaspersoft.studio.properties",1548211992279
started,bundle,com.jaspersoft.studio.components,6.6.0.final,"com.jaspersoft.studio.components",1548211992284
started,bundle,org.eclipse.draw2d,3.10.1.201508170204,"org.eclipse.draw2d",1548211992299
started,bundle,org.eclipse.gef,3.10.1.201508170204,"org.eclipse.gef",1548211992305
started,bundle,com.jaspersoft.studio.html,6.6.0.final,"com.jaspersoft.studio.html",1548211992406
started,bundle,com.jaspersoft.studio.data,6.6.0.final,"com.jaspersoft.studio.data",1548211992502
started,bundle,com.jaspersoft.studio.data.mongodb,6.6.0.final,"com.jaspersoft.studio.data.mongodb",1548211992530
started,bundle,com.jaspersoft.studio.server,6.6.0.final,"com.jaspersoft.studio.server",1548211992575
started,bundle,com.jaspersoft.studio,6.6.0.final,"com.jaspersoft.studio",1548211995879
started,bundle,com.jaspersoft.studio.components.customvisualization,6.6.0.final,"com.jaspersoft.studio.components.customvisualization",1548211995881
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548211999417
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.paste",1548212007662
started,bundle,org.eclipse.jst.servlet.ui,1.1.801.v201409042158,"org.eclipse.jst.servlet.ui",1548212011928
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.8.9,"org.tigris.subversion.clientadapter.svnkit",1548212011968
started,bundle,org.tigris.subversion.clientadapter.javahl,1.8.13,"org.tigris.subversion.clientadapter.javahl",1548212011971
started,bundle,org.eclipse.wst.jsdt.core,1.3.401.v201511181529,"org.eclipse.wst.jsdt.core",1548212012695
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212013086
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.import",1548212013106
error,log,,,"Could not auto-share project restful-web-services",1548212013185
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20131115-1210,"org.eclipse.equinox.p2.garbagecollector",1548212013276
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,3.1.1.Final-v20160409-0826-B118,"org.jboss.ide.eclipse.as.ui.mbeans",1548212014587
started,bundle,org.eclipse.jst.server.core,1.2.400.v201512031711,"org.eclipse.jst.server.core",1548212014596
started,bundle,org.eclipse.jdt.apt.core,3.4.0.v20150518-1201,"org.eclipse.jdt.apt.core",1548212014782
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.1.0.v20150423-0947,"org.eclipse.jdt.apt.pluggable.core",1548212014792
started,bundle,org.eclipse.xtext.ui,2.9.1.v201512180746,"org.eclipse.xtext.ui",1548212014825
started,bundle,org.eclipse.xtext,2.9.1.v201512180746,"org.eclipse.xtext",1548212014892
started,bundle,org.eclipse.xtext.builder,2.9.1.v201512180746,"org.eclipse.xtext.builder",1548212014893
started,bundle,org.eclipse.search,3.10.0.v20150318-0856,"org.eclipse.search",1548212014960
started,bundle,org.eclipse.xtext.common.types,2.9.1.v201512180746,"org.eclipse.xtext.common.types",1548212015114
started,bundle,org.eclipse.xtext.ui.shared,2.9.1.v201512180746,"org.eclipse.xtext.ui.shared",1548212015191
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212015252
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1548212015565
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1548212015599
started,bundle,com.jaspersoft.studio.data.sql.ui,6.6.0.final,"com.jaspersoft.studio.data.sql.ui",1548212015887
started,bundle,com.jaspersoft.studio.data.sql,6.6.0.final,"com.jaspersoft.studio.data.sql",1548212015891
started,bundle,org.eclipse.xtext.ide,2.9.1.v201512180746,"org.eclipse.xtext.ide",1548212016115
started,bundle,org.eclipse.m2e.editor.xml,1.6.2.20150902-0002,"org.eclipse.m2e.editor.xml",1548212017656
started,bundle,org.eclipse.wst.sse.core,1.1.901.v201510130005,"org.eclipse.wst.sse.core",1548212017683
started,bundle,org.eclipse.wst.common.uriresolver,1.2.200.v201505132009,"org.eclipse.wst.common.uriresolver",1548212018226
started,bundle,org.eclipse.m2e.core.ui,1.6.2.20150902-0002,"org.eclipse.m2e.core.ui",1548212018351
started,bundle,org.eclipse.m2e.wtp.jpa,1.2.1.20150819-2224,"org.eclipse.m2e.wtp.jpa",1548212023706
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212032399
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.500.v201505131719,"org.eclipse.wst.ws.service.policy.ui",1548212037383
started,bundle,org.eclipse.wst.ws.service.policy,1.0.450.v201505131719,"org.eclipse.wst.ws.service.policy",1548212037387
started,bundle,org.eclipse.wst.command.env,1.0.500.v201505131719,"org.eclipse.wst.command.env",1548212037403
started,bundle,org.eclipse.wst.ws,1.1.400.v201503231435,"org.eclipse.wst.ws",1548212037403
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212040598
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212044517
executed,command,org.eclipse.m2e.core.ui,1.6.2.20150902-0002,"org.eclipse.m2e.core.ui.command.updateProject",1548212044547
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212056985
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212057076
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212057569
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.300.v201308151836,"org.eclipse.jst.ws.jaxws.dom.integration",1548212059248
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.100.v201308151836,"org.eclipse.jst.ws.jaxws.dom.ui",1548212059265
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.301.v201504272154,"org.eclipse.jst.ws.jaxws.utils",1548212059298
started,bundle,org.eclipse.jpt.common.utility,2.3.0.v201311152020,"org.eclipse.jpt.common.utility",1548212059844
started,bundle,org.eclipse.jpt.common.core,1.4.0.v201308261915,"org.eclipse.jpt.common.core",1548212059847
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212067033
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212070832
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212072989
opened,editor,com.jaspersoft.studio.babel.editor,6.6.0.final,"com.essiembre.rbe.eclipse.editor.ResourceBundleEditor",1548212078523
activated,editor,com.jaspersoft.studio.babel.editor,6.6.0.final,"com.essiembre.rbe.eclipse.editor.ResourceBundleEditor",1548212078833
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212093752
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212095497
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212123361
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212125107
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1548212129212
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212140913
started,bundle,org.eclipse.wst.sse.ui,1.3.401.v201510130005,"org.eclipse.wst.sse.ui",1548212148431
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212148437
activated,view,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.ProjectExplorer",1548212148456
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548212151883
