what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.ide.eclipse.as.ui,3.1.1.Final-v20160409-0826-B118,"org.jboss.ide.eclipse.as.ui",1548210212095
stopped,bundle,org.jboss.tools.as.runtimes.integration,3.1.1.Final-v20160409-0826-B118,"org.jboss.tools.as.runtimes.integration",1548210212104
stopped,bundle,org.jboss.ide.eclipse.as.wtp.ui,3.1.1.Final-v20160409-0826-B118,"org.jboss.ide.eclipse.as.wtp.ui",1548210212108
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.5.v201403131814,"org.eclipse.datatools.connectivity.oda.template.ui",1548210212110
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.600.v20150831-0659,"org.eclipse.pde.api.tools.ui",1548210212116
stopped,bundle,org.eclipse.pde.ds.ui,1.0.400.v20150506-1709,"org.eclipse.pde.ds.ui",1548210212123
stopped,bundle,org.eclipse.pde.runtime,3.4.500.v20150423-1241,"org.eclipse.pde.runtime",1548210212128
stopped,bundle,org.eclipse.pde.ui.templates,3.5.0.v20150818-1511,"org.eclipse.pde.ui.templates",1548210212134
stopped,bundle,com.jaspersoft.studio.hibernate3,3.3.2.GA_01,"com.jaspersoft.studio.hibernate3",1548210212136
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.1.101.v201501152048,"org.eclipse.jpt.dbws.eclipselink.ui",1548210212138
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.core.gen,1.1.100.v201308132122,"org.eclipse.jpt.dbws.eclipselink.core.gen",1548210212140
stopped,bundle,org.eclipse.jpt.jaxb.eclipselink.core.schemagen,1.2.100.v201309202144,"org.eclipse.jpt.jaxb.eclipselink.core.schemagen",1548210212142
stopped,bundle,com.jaspersoft.studio.components.customvisualization,6.6.0.final,"com.jaspersoft.studio.components.customvisualization",1548210212143
stopped,bundle,com.jaspersoft.studio.data.mongodb,6.6.0.final,"com.jaspersoft.studio.data.mongodb",1548210212143
stopped,bundle,com.jaspersoft.studio.server.soap,6.6.0.final,"com.jaspersoft.studio.server.soap",1548210212145
stopped,bundle,com.jaspersoft.studio.server,6.6.0.final,"com.jaspersoft.studio.server",1548210212145
stopped,bundle,com.jaspersoft.studio.book,6.6.0.final,"com.jaspersoft.studio.book",1548210212145
stopped,bundle,com.jaspersoft.studio.community,6.6.0.final,"com.jaspersoft.studio.community",1548210212148
stopped,bundle,com.jaspersoft.studio.components,6.6.0.final,"com.jaspersoft.studio.components",1548210212148
stopped,bundle,com.jaspersoft.studio.data.drivers,6.6.0.final,"com.jaspersoft.studio.data.drivers",1548210212148
stopped,bundle,com.jaspersoft.studio.data.sql.ui,6.6.0.final,"com.jaspersoft.studio.data.sql.ui",1548210212150
stopped,bundle,com.jaspersoft.studio.data.sql,6.6.0.final,"com.jaspersoft.studio.data.sql",1548210212152
stopped,bundle,com.jaspersoft.studio.data,6.6.0.final,"com.jaspersoft.studio.data",1548210212152
stopped,bundle,com.jaspersoft.studio.editor.jrexpressions.ui,6.6.0.final,"com.jaspersoft.studio.editor.jrexpressions.ui",1548210212154
stopped,bundle,com.jaspersoft.studio.editor.jrexpressions,6.6.0.final,"com.jaspersoft.studio.editor.jrexpressions",1548210212159
stopped,bundle,com.jaspersoft.studio.html,6.6.0.final,"com.jaspersoft.studio.html",1548210212159
stopped,bundle,com.jaspersoft.studio.widgets.map,6.6.0.final,"com.jaspersoft.studio.widgets.map",1548210212161
stopped,bundle,com.jaspersoft.studio,6.6.0.final,"com.jaspersoft.studio",1548210212161
stopped,bundle,org.eclipse.pde.ui,3.8.202.v20160128-0556,"org.eclipse.pde.ui",1548210212161
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.200.v20131227-1524,"org.eclipse.ui.cheatsheets",1548210212170
stopped,bundle,com.adobe.flexbuilder.standalone,4.7.0.349722,"com.adobe.flexbuilder.standalone",1548210212191
stopped,bundle,com.adobe.flexbuilder.debug.ui,4.7.0.349722,"com.adobe.flexbuilder.debug.ui",1548210212191
stopped,bundle,com.adobe.flashbuilder.multiplatform.android.ui,4.7.0.349722,"com.adobe.flashbuilder.multiplatform.android.ui",1548210212191
stopped,bundle,com.adobe.flashbuilder.multiplatform.ios.ui,4.7.0.349722,"com.adobe.flashbuilder.multiplatform.ios.ui",1548210212193
stopped,bundle,com.adobe.flashbuilder.project.multiplatform.ui,4.7.0.349722,"com.adobe.flashbuilder.project.multiplatform.ui",1548210212203
stopped,bundle,com.adobe.flexbuilder.ajaxbridge,4.7.0.349722,"com.adobe.flexbuilder.ajaxbridge",1548210212209
stopped,bundle,com.adobe.flexbuilder.dcrad,4.7.0.349722,"com.adobe.flexbuilder.dcrad",1548210212210
stopped,bundle,com.adobe.flexbuilder.mxml.editor,4.7.0.349722,"com.adobe.flexbuilder.mxml.editor",1548210212216
stopped,bundle,com.adobe.flexbuilder.css.editor,4.7.0.349722,"com.adobe.flexbuilder.css.editor",1548210212225
stopped,bundle,com.adobe.flexbuilder.exportimport,4.7.0.349722,"com.adobe.flexbuilder.exportimport",1548210212225
stopped,bundle,com.adobe.flexbuilder.flashbridge,4.7.0.349722,"com.adobe.flexbuilder.flashbridge",1548210212226
stopped,bundle,com.adobe.flexbuilder.flexunit,4.7.0.349722,"com.adobe.flexbuilder.flexunit",1548210212232
stopped,bundle,com.adobe.flexbuilder.as.editor,4.7.0.349722,"com.adobe.flexbuilder.as.editor",1548210212238
stopped,bundle,com.adobe.flexbuilder.importartwork,4.7.0.349722,"com.adobe.flexbuilder.importartwork",1548210212243
stopped,bundle,com.adobe.flexbuilder.tengine,4.7.0.349722,"com.adobe.flexbuilder.tengine",1548210212250
stopped,bundle,com.adobe.flexbuilder.editorcore,4.7.0.349722,"com.adobe.flexbuilder.editorcore",1548210212255
stopped,bundle,com.adobe.flexbuilder.debug,4.7.0.349722,"com.adobe.flexbuilder.debug",1548210212261
stopped,bundle,com.adobe.flash.profiler,4.7.0.349722,"com.adobe.flash.profiler",1548210212269
stopped,bundle,com.adobe.flashbuilder.launching.multiplatform.ui,4.7.0.349722,"com.adobe.flashbuilder.launching.multiplatform.ui",1548210212276
stopped,bundle,com.adobe.flexbuilder.launching.ui,4.7.0.349722,"com.adobe.flexbuilder.launching.ui",1548210212283
stopped,bundle,com.adobe.flexbuilder.project.ui,4.7.0.349722,"com.adobe.flexbuilder.project.ui",1548210212283
stopped,bundle,com.adobe.flexbuilder.monitors.network,4.7.0.349722,"com.adobe.flexbuilder.monitors.network",1548210212294
stopped,bundle,com.adobe.flexbuilder.ui,4.7.0.349722,"com.adobe.flexbuilder.ui",1548210212310
stopped,bundle,org.eclipse.help.ui,4.0.100.v20140401-0608,"org.eclipse.help.ui",1548210212316
stopped,bundle,org.eclipse.help.webapp,3.7.0.v20150425-0643,"org.eclipse.help.webapp",1548210212319
stopped,bundle,org.eclipse.epp.mpc.ui,1.4.2.v20160210-2005,"org.eclipse.epp.mpc.ui",1548210212319
stopped,bundle,org.eclipse.ui.intro.universal,3.2.800.v20150325-0952,"org.eclipse.ui.intro.universal",1548210212323
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1548210212325
stopped,bundle,com.adobe.flexide.exportimport,4.7.0.349722,"com.adobe.flexide.exportimport",1548210212330
stopped,bundle,com.adobe.flexide.fonts,4.7.0.349722,"com.adobe.flexide.fonts",1548210212336
stopped,bundle,com.adobe.flexide.designitems,4.7.0.349722,"com.adobe.flexide.designitems",1548210212340
stopped,bundle,com.adobe.flexide.multiplatform.ios,4.7.0.349722,"com.adobe.flexide.multiplatform.ios",1548210212367
stopped,bundle,com.adobe.flexide.refactoring.core,4.7.0.349722,"com.adobe.flexide.refactoring.core",1548210212388
stopped,bundle,com.adobe.flexide.mxml.core,4.7.0.349722,"com.adobe.flexide.mxml.core",1548210212414
stopped,bundle,com.adobe.flexide.css.core,4.7.0.349722,"com.adobe.flexide.css.core",1548210212438
stopped,bundle,com.adobe.flexide.as.core,4.7.0.349722,"com.adobe.flexide.as.core",1548210212464
stopped,bundle,com.adobe.flexide.externaleditors,4.7.0.349722,"com.adobe.flexide.externaleditors",1548210212468
stopped,bundle,com.adobe.flexide.editorcore,4.7.0.349722,"com.adobe.flexide.editorcore",1548210212469
stopped,bundle,com.adobe.flexbuilder.mxmlmodel,4.7.0.349722,"com.adobe.flexbuilder.mxmlmodel",1548210212469
stopped,bundle,com.adobe.flashbuilder.launching.multiplatform.contributor,4.7.0.349722,"com.adobe.flashbuilder.launching.multiplatform.contributor",1548210212490
stopped,bundle,com.adobe.flashbuilder.launching.win8,4.7.0.349722,"com.adobe.flashbuilder.launching.win8",1548210212490
stopped,bundle,com.adobe.flexbuilder.multisdk,4.7.0.349722,"com.adobe.flexbuilder.multisdk",1548210212490
stopped,bundle,com.adobe.flexide.codemodel.bridge,4.7.0.349722,"com.adobe.flexide.codemodel.bridge",1548210212512
stopped,bundle,com.adobe.flexide.multiplatform.android,4.7.0.349722,"com.adobe.flexide.multiplatform.android",1548210212541
stopped,bundle,com.adobe.flexide.launching.multiplatform,4.7.0.349722,"com.adobe.flexide.launching.multiplatform",1548210212566
