what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.adobe.flexide.css.core,4.7.0.349722,"com.adobe.flexide.css.core",1548211592022
stopped,bundle,com.adobe.flexide.as.core,4.7.0.349722,"com.adobe.flexide.as.core",1548211592027
stopped,bundle,com.adobe.flexide.externaleditors,4.7.0.349722,"com.adobe.flexide.externaleditors",1548211592028
stopped,bundle,com.adobe.flexide.editorcore,4.7.0.349722,"com.adobe.flexide.editorcore",1548211592028
stopped,bundle,com.adobe.flexbuilder.mxmlmodel,4.7.0.349722,"com.adobe.flexbuilder.mxmlmodel",1548211592028
stopped,bundle,com.adobe.flashbuilder.launching.multiplatform.contributor,4.7.0.349722,"com.adobe.flashbuilder.launching.multiplatform.contributor",1548211592031
stopped,bundle,com.adobe.flashbuilder.launching.win8,4.7.0.349722,"com.adobe.flashbuilder.launching.win8",1548211592034
stopped,bundle,com.adobe.flexbuilder.multisdk,4.7.0.349722,"com.adobe.flexbuilder.multisdk",1548211592034
stopped,bundle,com.adobe.flexide.codemodel.bridge,4.7.0.349722,"com.adobe.flexide.codemodel.bridge",1548211592038
stopped,bundle,com.adobe.flexide.multiplatform.android,4.7.0.349722,"com.adobe.flexide.multiplatform.android",1548211592043
stopped,bundle,com.adobe.flexide.launching.multiplatform,4.7.0.349722,"com.adobe.flexide.launching.multiplatform",1548211592048
stopped,bundle,com.adobe.flexide.launching,4.7.0.349722,"com.adobe.flexide.launching",1548211592052
stopped,bundle,com.adobe.flexide.project.multiplatform,4.7.0.349722,"com.adobe.flexide.project.multiplatform",1548211592055
stopped,bundle,com.adobe.flexbuilder.project,4.7.0.349722,"com.adobe.flexbuilder.project",1548211592055
stopped,bundle,com.adobe.flexbuilder.editors.derived,4.7.0.349722,"com.adobe.flexbuilder.editors.derived",1548211592055
stopped,bundle,org.eclipse.ui.intro,3.4.300.v20141007-1449,"org.eclipse.ui.intro",1548211592057
stopped,bundle,org.eclipse.help.base,4.0.301.v20160212-1500,"org.eclipse.help.base",1548211592060
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.850.v201505131719,"org.eclipse.jst.ws.axis.creation.ui",1548211592061
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.800.v201505131719,"org.eclipse.jst.ws.axis.consumption.ui",1548211592063
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.creation.ui",1548211592064
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.consumption.ui",1548211592066
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.creation.core",1548211592067
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.consumption.core",1548211592068
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.300.v201403242125,"org.eclipse.jst.ws.cxf.creation.ui",1548211592070
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.900.v201503111711,"org.eclipse.jst.ws.creation.ui",1548211592072
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.300.v201309232152,"org.eclipse.jst.ws.cxf.consumption.ui",1548211592073
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.800.v201504152025,"org.eclipse.jst.ws.consumption.ui",1548211592075
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.400.v201309242118,"org.eclipse.jst.ws.axis2.ui",1548211592076
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.600.v201505131719,"org.eclipse.jst.ws.uddiregistry",1548211592077
stopped,bundle,org.eclipse.jst.ws.ui,1.0.500.v201505131719,"org.eclipse.jst.ws.ui",1548211592079
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.850.v201512021921,"org.eclipse.wst.ws.explorer",1548211592082
stopped,bundle,com.adobe.flashbuilder.http.JettyService,4.7.0.349722,"com.adobe.flashbuilder.http.JettyService",1548211592086
stopped,bundle,org.eclipse.equinox.http.jetty,3.1.2.v20160115-1350,"org.eclipse.equinox.http.jetty",1548211592089
stopped,bundle,org.eclipse.m2e.discovery,1.6.2.20150902-0002,"org.eclipse.m2e.discovery",1548211592090
stopped,bundle,org.eclipse.m2e.editor,1.6.2.20150902-0002,"org.eclipse.m2e.editor",1548211592092
stopped,bundle,org.eclipse.m2e.editor.xml,1.6.2.20150902-0002,"org.eclipse.m2e.editor.xml",1548211592093
stopped,bundle,org.eclipse.m2e.wtp.jaxrs,1.2.1.20150819-2220,"org.eclipse.m2e.wtp.jaxrs",1548211592095
stopped,bundle,org.eclipse.m2e.wtp.jpa,1.2.1.20150819-2224,"org.eclipse.m2e.wtp.jpa",1548211592096
stopped,bundle,org.eclipse.m2e.wtp.jsf,1.2.1.20150819-2220,"org.eclipse.m2e.wtp.jsf",1548211592098
stopped,bundle,org.eclipse.m2e.wtp,1.2.1.20150819-2220,"org.eclipse.m2e.wtp",1548211592101
stopped,bundle,org.eclipse.m2e.jdt,1.6.2.20150902-0002,"org.eclipse.m2e.jdt",1548211592104
stopped,bundle,org.eclipse.m2e.launching,1.6.2.20150902-0002,"org.eclipse.m2e.launching",1548211592106
stopped,bundle,org.eclipse.m2e.profiles.ui,1.6.2.20150902-0002,"org.eclipse.m2e.profiles.ui",1548211592108
stopped,bundle,org.eclipse.m2e.refactoring,1.6.2.20150902-0002,"org.eclipse.m2e.refactoring",1548211592110
stopped,bundle,org.eclipse.m2e.profiles.core,1.6.2.20150902-0002,"org.eclipse.m2e.profiles.core",1548211592112
stopped,bundle,org.eclipse.m2e.wtp.overlay.ui,1.2.1.20150819-2220,"org.eclipse.m2e.wtp.overlay.ui",1548211592114
stopped,bundle,org.eclipse.m2e.wtp.overlay,1.2.1.20150819-2220,"org.eclipse.m2e.wtp.overlay",1548211592115
stopped,bundle,org.eclipse.egit.mylyn.ui,4.1.1.201511131810-r,"org.eclipse.egit.mylyn.ui",1548211592117
stopped,bundle,org.eclipse.egit.ui,4.1.1.201511131810-r,"org.eclipse.egit.ui",1548211592117
stopped,bundle,org.eclipse.oomph.setup.editor,1.3.0.v20160213-0953,"org.eclipse.oomph.setup.editor",1548211592119
