what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1548209542970
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1548209542973
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1548209542979
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1548209542982
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1548209542985
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1548209542987
started,bundle,com.jaspersoft.studio.babel.editor,6.6.0.final,"com.jaspersoft.studio.babel.editor",1548209542989
started,bundle,com.jaspersoft.studio.xtext.jface,6.6.0.final,"com.jaspersoft.studio.xtext.jface",1548209542991
started,bundle,net.sf.jasperreports,6.6.0.final,"net.sf.jasperreports",1548209542992
os,sysinfo,,,"win32",1548209542998
arch,sysinfo,,,"x86_64",1548209542998
ws,sysinfo,,,"win32",1548209542998
locale,sysinfo,,,"en_US",1548209542998
processors,sysinfo,,,"4",1548209542998
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1548209542998
java.runtime.version,sysinfo,,,"1.8.0_172-b11",1548209542998
java.specification.name,sysinfo,,,"Java Platform API Specification",1548209542998
java.specification.vendor,sysinfo,,,"Oracle Corporation",1548209542998
java.specification.version,sysinfo,,,"1.8",1548209542998
java.vendor,sysinfo,,,"Oracle Corporation",1548209542998
java.version,sysinfo,,,"1.8.0_172",1548209542998
java.vm.info,sysinfo,,,"mixed mode",1548209542998
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1548209542998
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1548209542998
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1548209542998
java.vm.specification.version,sysinfo,,,"1.8",1548209542998
java.vm.vendor,sysinfo,,,"Oracle Corporation",1548209542998
java.vm.version,sysinfo,,,"25.172-b11",1548209542998
started,bundle,com.adobe.flexbuilder.flex,4.7.0.349722,"com.adobe.flexbuilder.flex",1548209543194
started,bundle,com.adobe.flexbuilder.project.ui,4.7.0.349722,"com.adobe.flexbuilder.project.ui",1548209543293
started,bundle,com.adobe.flashbuilder.multiplatform.android.ui,4.7.0.349722,"com.adobe.flashbuilder.multiplatform.android.ui",1548209543323
started,bundle,com.adobe.flashbuilder.multiplatform.ios.ui,4.7.0.349722,"com.adobe.flashbuilder.multiplatform.ios.ui",1548209543352
started,bundle,com.adobe.flexide.launching,4.7.0.349722,"com.adobe.flexide.launching",1548209543380
started,bundle,org.eclipse.ui.browser,3.4.300.v20150429-0602,"org.eclipse.ui.browser",1548209543397
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548209646848
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548209647664
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548209648819
closed,view,org.eclipse.ui.views,3.8.0.v20150422-0725,"org.eclipse.ui.views.ContentOutline",1548209648976
closed,view,org.eclipse.wst.server.ui,1.5.202.v201602111638,"org.eclipse.wst.server.ui.ServersView",1548209648995
closed,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.AllMarkersView",1548209649079
closed,view,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.ProjectExplorer",1548209649098
closed,view,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.internal.introview",1548209649128
closed,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548209649639
stopped,bundle,org.eclipse.m2e.logback.configuration,1.6.2.20150902-0002,"org.eclipse.m2e.logback.configuration",1548209650252
stopped,bundle,org.eclipse.recommenders.apidocs.rcp,2.3.0.v20160216-1255,"org.eclipse.recommenders.apidocs.rcp",1548209650257
stopped,bundle,org.eclipse.recommenders.coordinates.rcp,2.3.0.v20160216-1255,"org.eclipse.recommenders.coordinates.rcp",1548209650299
stopped,bundle,org.eclipse.recommenders.models,2.3.0.v20160216-1255,"org.eclipse.recommenders.models",1548209650359
stopped,bundle,org.eclipse.recommenders.coordinates,2.3.0.v20160216-1255,"org.eclipse.recommenders.coordinates",1548209650408
stopped,bundle,org.eclipse.wst.server.preview,1.1.302.v201411112027,"org.eclipse.wst.server.preview",1548209650447
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v201108120600,"org.eclipse.datatools.enablement.hsqldb.ui",1548209650482
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1548209650543
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v201107221506,"org.eclipse.datatools.enablement.postgresql.ui",1548209650575
stopped,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sqlite.ui",1548209650606
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.ui,2.4.0.v201308271953,"org.eclipse.jpt.jpa.eclipselink.ui",1548209650646
stopped,bundle,org.eclipse.jpt.jpa.ui,3.4.0.v201312022017,"org.eclipse.jpt.jpa.ui",1548209650648
stopped,bundle,org.eclipse.jpt.jpa.db.ui,2.1.100.v201309202144,"org.eclipse.jpt.jpa.db.ui",1548209650680
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.2.v201211200622,"org.eclipse.datatools.connectivity.db.generic.ui",1548209650712
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201107221459,"org.eclipse.datatools.connectivity.apache.derby.ui",1548209650751
